iter	MultiClass
751	0.09045877216
752	0.09044975902
753	0.0904390272
754	0.09042485407
755	0.09041291707
756	0.09040333727
757	0.09039071722
758	0.0903720271
759	0.09031441469
760	0.09030732398
761	0.09028362636
762	0.0902702326
763	0.09026722821
764	0.09024925736
765	0.09023201875
766	0.09020079433
767	0.09019140778
768	0.0901610351
769	0.09014811922
770	0.09013617394
771	0.09012749539
772	0.09011793094
773	0.09011082258
774	0.09010107496
775	0.09009640541
776	0.09008562802
777	0.09007258853
778	0.09006080793
779	0.0900389698
780	0.09002723747
781	0.09000964999
782	0.0899982018
783	0.08997282917
784	0.08995266983
785	0.08994383052
786	0.08993334848
787	0.0899218025
788	0.08991496551
789	0.08990579185
790	0.08989580859
791	0.08988989452
792	0.08988368065
793	0.08987408847
794	0.08985500099
795	0.08984143407
796	0.08983061615
797	0.089822967
798	0.0898085186
799	0.08979900612
800	0.08978977254
801	0.08977549302
802	0.08974678148
803	0.08973900849
804	0.08972607385
805	0.08970955916
806	0.08968721746
807	0.08967510507
808	0.08964316163
809	0.08963390802
810	0.08962274409
811	0.08960916881
812	0.08957155254
813	0.08956253114
814	0.08954505628
815	0.08952682786
816	0.08952262476
817	0.08950866798
818	0.08948557177
819	0.08946779973
820	0.08944596207
821	0.08943338954
822	0.08941540034
823	0.08938840415
824	0.08937274894
825	0.08934146271
826	0.08933524424
827	0.08932895493
828	0.0893215334
829	0.08930928381
830	0.08930396963
831	0.08929549577
832	0.08928058627
833	0.0892697225
834	0.0892618287
835	0.08925269229
836	0.08924430217
837	0.08923489913
838	0.08921512378
839	0.08920703974
840	0.08919805826
841	0.08917362484
842	0.08916339459
843	0.08910972564
844	0.08909539073
845	0.08908339752
846	0.08907239585
847	0.08906419225
848	0.08905682555
849	0.08904844607
850	0.08903798947
851	0.08902573488
852	0.0890145531
853	0.08900069235
854	0.08899473438
855	0.08898197256
856	0.08897344614
857	0.08896579127
858	0.08895542332
859	0.08894570748
860	0.08890513879
861	0.08888863592
862	0.08888214669
863	0.08886339003
864	0.08885391169
865	0.08884434901
866	0.08883510435
867	0.08882010393
868	0.08880835412
869	0.08879652996
870	0.08877521346
871	0.08876867332
872	0.08875934725
873	0.08875106689
874	0.08873329468
875	0.08872697151
876	0.08871614289
877	0.0887014382
878	0.08868980841
879	0.08867428415
880	0.08866027424
881	0.08865307297
882	0.08862684642
883	0.08861869396
884	0.08856595611
885	0.0885459051
886	0.08853991054
887	0.08853301121
888	0.08852203101
889	0.08848258301
890	0.0884756002
891	0.08846557363
892	0.08845680221
893	0.08843670107
894	0.08843242288
895	0.08839390097
896	0.08838487403
897	0.08836540196
898	0.08835206694
899	0.08833192766
900	0.08831823905
901	0.08830928133
902	0.08829748423
903	0.08828834722
904	0.08827449704
905	0.08826781039
906	0.08825375184
907	0.08824447321
908	0.08822404874
909	0.08821520627
910	0.08820424024
911	0.08818951476
912	0.08817473201
913	0.08816422894
914	0.08814445754
915	0.08813500285
916	0.08812763189
917	0.08811540597
918	0.08810637899
919	0.08809877737
920	0.08806898653
921	0.08806250796
922	0.0880557168
923	0.08803953067
924	0.08801369375
925	0.08799748307
926	0.08797588159
927	0.08796654736
928	0.08795974107
929	0.08795261949
930	0.0879392991
931	0.08792943673
932	0.08791416167
933	0.0879018643
934	0.08789402024
935	0.08788355612
936	0.08787400867
937	0.08785965263
938	0.08785408641
939	0.08784707195
940	0.0878388924
941	0.08783141946
942	0.08781956873
943	0.08780465054
944	0.08779454274
945	0.08777646799
946	0.08776840566
947	0.08776023047
948	0.08774749267
